gene_short_name,V515-06187-A1,TNT-1,TNT-2,TNT-3,TNT-4,TNT-6,TNT-8,TNT-13,TNT-14,TNT-16,TNT-18,TNT-20,TNT-24,TNT-26,TNT-27,TNT-30,TNT-33,TNT-35,TNT-41,TNT-44,TNT-45,TNT-48,TNT-49,TNT-50,TNT-53,TNT-54,TNT-56,TNT-57,TNT-58,TNT-62,TNT-65,TNT-67,TNT-69,TNT-71,TNT-73,TNT-76,TNT-79,TNT-80,TNT-81,TNT-82,TNT-83,TNT-85,TNT-92,TNT-94,TNT-98,TNT-100,TNT-104,TNT-105,TNT-111,TNT-113,TNT-115,TNT-117,TNT-121,TNT-122,TNT-123,TNT-132,TNT-133,TNT-134,TNT-138,TNT-139,TNT-141,TNT-152,TNT-154,TNT-157,TNT-158,TNT-166,TNT-167,TNT-177,TNT-182,TNT-183,TNT-186,TNT-187,TNT-192,TNT-194,TNT-195,TNT-197,TNT-201,TNT-202,TNT-204,TNT-208,TNT-209,TNT-210,TNT-211,TNT-214,TNT-217,TNT-218,TNT-219,TNT-220,TNT-223,TNT-224,TNT-225,TNT-227,TNT-231,TNT-234,TNT-238,TNT-239,TNT-240,TNT-245,TNT-252,TNT-259,TNT-265,TNT-267,TNT-269,TNT-270,TNT-271,TNT-272,TNT-274,TNT-275,TNT-277,TNT-278,TNT-281,TNT-282,TNT-283,TNT-288,TNT-289,TNT-293,TNT-296,TNT-297,TNT-299,TNT-300,TNT-304,TNT-310,TNT-311,TNT-313,TNT-318,TNT-321,TNT-322,TNT-325,TNT-326,TNT-328,17-00097-1_S9_cufflinks,17-00099-0_S15_cufflinks,17-00100-2_S17Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks,17-00103-7_S3Aligned_cufflinks,17-00104-2_S7Aligned_cufflinks,17-00105-7_S10_cufflinks,17-00107-9_S10Aligned_cufflinks,17-00108-5_S18Aligned_cufflinks,17-00109-8_S14Aligned_cufflinks,17-00110-9_S15Aligned_cufflinks,17-00111-2_S4_cufflinks,17-00112-1_S7_cufflinks,17-00113-4_S11_cufflinks,17-00114-7_S13_cufflinks,17-00116-9_S2Aligned_cufflinks,17-00118-2_S5Aligned_cufflinks,17-00119-5_S5_cufflinks,17-00121-8_S12_cufflinks,17-00122-1_S1_cufflinks,17-00123-8_S16Aligned_cufflinks,17-00124-3_S12Aligned_cufflinks,17-00125-8_S13Aligned_cufflinks,17-00127-8_S3Aligned_cufflinks,17-00131-5_S8Aligned_cufflinks,17-00132-8_S16Aligned_cufflinks,17-00139-2_S9Aligned_cufflinks,17-00140-2_S2_cufflinks,17-00141-7_S14Aligned_cufflinks,17-00143-5_S2Aligned_cufflinks,17-00149-2_S3_cufflinks,17-00152-9_S4Aligned_cufflinks,17-00156-7_S13Aligned_cufflinks,17-00157-0_S11Aligned_cufflinks,17-00159-1_S1Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks,17-00163-6_S7Aligned_cufflinks,17-00165-0_S10Aligned_cufflinks,17-00166-3_S11Aligned_cufflinks,17-00174-6_S15Aligned_cufflinks,17-00212-8_S3Aligned_cufflinks,17-00214-4_S8Aligned_cufflinks,17-00243-6_S9Aligned_cufflinks,17-00252-2_S13Aligned_cufflinks,17-00258-5_S5Aligned_cufflinks,17-00269-8_S12Aligned_cufflinks,17-00270-5_S14Aligned_cufflinks,17-00271-8_S16Aligned_cufflinks,17-00280-7_S4Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks
ABCA8,1.07397,47.3435,11.3424,10.6347,37.7185,9.6574,21.1353,26.684,1.68679,16.1221,10.5629,5.37171,4.7176,4.23117,1.91007,3.51604,42.1504,16.6291,13.0061,57.5774,69.6238,251.734,46.919,6.27059,12.7482,58.0877,53.5647,6.46901,0,6.79048,9.97539,38.3062,6.33428,12.9025,7.78546,1.71208,1.87166,22.0769,1.02282,7.26466,5.23671,13.9148,32.1067,2.84949,46.1161,10.2128,45.0011,31.9528,14.8562,6.802,1.17188,14.5549,3.96188,88.0911,4.65218,13.1009,75.7969,17.1376,12.6791,4.21902,68.4435,28.3027,0.0856442,16.5316,8.55308,8.04194,2.02615,9.29659,5.73898,3.81267,7.37154,12.5347,119.155,13.5865,30.7235,3.13417,6.47646,0.419579,22.5552,16.3134,5.75345,9.09564,61.2901,6.30619,13.4229,0.231117,11.2782,29.3376,11.3176,11.0932,19.7157,0.876496,3.88278,4.49278,3.0725,6.36936,4.22404,8.9799,8.54573,7.3788,2.63255,14.0161,9.26357,7.25541,19.3019,4.83654,1.87787,4.6609,126.537,6.09487,39.0365,4.67702,5.2258,10.8786,7.5326,8.95136,12.0717,17.0174,8.87917,2.02342,3.65161,1.50603,34.8692,11.8392,1.60268,1.1144,2.96949,1.18126,0.03846,9.23817,2.1075,2.37642,2.66909,0.969992,17.5334,7.99826,15.2433,54.7654,1.88511,94.4592,0.943892,3.13612,0,15.3024,4.78456,140.738,24.4092,4.38939,43.7288,15.2547,6.17733,19.1922,55.5194,5.2732,3.02603,19.4248,3.646,4.1809,10.5345,0.809124,32.3573,0,0,14.9899,1.78272,0.719822,0.770148,16.9844,0.866845,1.75724,10.9008,11.9716,39.5772,10.1006,6.53624,10.5754,2.10963,43.1719,1.96104,13.7512
ADRA2A,0.196819,0.120636,0.725975,0,4.02106,1.35793,0.398157,0,0.104517,1.7823,0.337047,0.689524,0.167515,0.999606,0,0.202828,0.70351,0.981889,1.04865,0.627014,0.0861151,1.73146,0.128019,0.613286,0.0994593,0.409427,0.818513,0.408656,0,0.338394,0,0.801187,0.150311,0.126597,0.224004,0.216004,0,0.0131794,0.0734277,0.277216,0.0484197,0.126968,0.187864,0,0.44963,0.218344,0.0269278,0.0701431,1.03917,1.08531,0.172526,1.06228,0,0.408986,0.11801,0,0.598187,0.0531184,1.91297,0.358636,1.30754,0.562541,0.0192695,0.0535747,0,0.172444,0,0.268389,0.0891861,0.0692467,0.864678,0.0689046,0.801336,0.308895,0.22465,0.245942,0.195692,0.104238,0.51488,0.492345,1.18075,0.335962,0.395498,0.53439,1.51081,1.20816,0.249391,1.45258,0,0.521527,0.313514,0.949996,1.04498,0.631742,1.4667,0.621933,0,0.139203,0.303387,0.0622414,0.860494,0,0.0965076,0.416253,0.10425,0.0985654,0,0.629714,0.268735,0,0,0.0181278,0,0.283499,0.0190859,0,0.51861,0.223559,0.321954,0.0194261,0,0.0916352,0.0496502,0.166689,0.37137,0,0.471202,0.271846,0.917432,0,0.130515,1.096,0.798061,0.117883,1.10499,0.145057,1.61281,2.2659,0.266755,1.63707,0.184313,1.38168,0.403755,1.17333,1.9036,1.49006,3.19406,1.83867,1.48313,1.06565,0.984298,0.730596,4.31788,0,0.425611,3.61611,0.21834,0.974128,1.99187,0.0726771,1.055,0,0,0.928628,0.424612,0.203424,0.0657186,0.861454,0.325163,0.124234,0.804,0.345093,2.18221,0.666199,0.656837,0.231559,0.785147,3.57135,0.330945,0.841984
AKAP12,3.75243,4.00906,4.33016,4.93901,17.7207,11.312,2.99765,11.3162,2.16044,14.6167,10.1055,7.36849,3.76727,16.1452,4.47033,9.44357,6.5784,12.7669,7.11901,29.6051,3.04989,12.1732,3.20903,15.7193,2.72579,14.9386,7.0299,6.26016,6.38661,11.6889,3.85601,27.6458,8.43398,3.09258,6.59172,4.07696,1.64424,2.49283,3.73951,3.91678,10.1537,9.65515,5.51587,20.2867,5.98117,6.21779,14.8787,9.49149,15.7074,12.1145,2.92812,1.69174,11.4793,15.4194,3.79732,10.4829,6.89523,10.3489,7.20418,4.57451,7.14621,19.0715,2.75083,5.01157,1.99925,11.4176,7.73556,2.95332,13.2235,8.8469,15.2398,10.9667,35.9662,10.3491,21.7435,8.95121,12.689,2.88543,5.24104,22.9325,5.17876,6.16654,10.4024,6.27307,11.1246,2.32421,10.7207,15.2167,2.91052,12.9614,11.701,4.58848,8.51694,13.1758,3.91094,7.24354,4.96255,5.12106,3.34193,10.4078,4.09434,34.7771,11.6325,6.02093,9.75869,5.09248,2.28224,4.96091,21.3352,4.77909,10.6971,3.37991,3.43169,16.0737,16.4518,2.21784,3.8555,31.1722,8.3169,1.30359,1.82451,5.4899,15.4658,5.92393,7.96738,4.92338,10.0738,2.18196,7.45648,9.39584,1.87044,3.23311,2.76503,3.1793,7.26494,0.644769,20.4997,17.232,0.90279,66.8964,0.618114,6.91818,1.65867,3.48712,7.9425,40.9208,14.0568,12.7491,26.8543,3.36502,6.51828,8.16971,25.364,1.2662,0.384289,5.52166,2.68102,1.05279,12.7907,0.951425,14.0612,0,1.81444,11.8446,1.92959,1.14141,1.2357,6.21113,3.71364,3.42367,6.45585,3.78327,18.6305,3.59153,3.78971,3.77041,3.93642,19.8129,1.98968,12.1297
ALDH3B2,34.613,8.46557,59.8633,0,42.5699,433.613,2.43056,8.65127,5.56607,303.041,1.59088,119.299,0.891775,2.66442,0,10.5998,19.4297,73.376,1.4853,0,0.95725,10.1174,9.3486,19.4221,0.586071,9.50673,2.74039,0.100817,3.93287,0.220724,1.98891,33.9557,2.33555,24.6302,8.95057,1.20211,41.6244,58.4224,3.98663,15.0004,11.9552,3.09142,8.09628,22.8759,8.66927,3.95048,134.5,0,575.453,4.95691,7.47531,20.3454,2.11688,23.2977,5.94829,14.3204,15.4526,3.81536,12.4995,4.68061,2.52334,134.872,2.17118,44.3463,0,11.936,172.847,8.06703,0.223333,38.4582,4.60629,7.42946,68.1928,2.39483,1.14113,1.98131,8.55663,9.39125,10.6186,7.12214,5.19828,8.86323,1.13534,5.43093,0,16.6609,6.22725,0.906112,8.82694,4.94473,0,0,10.2769,1.06207,3.84186,6.83249,0,4.80485,0,2.39888,7.94478,0,1.61673,97.5075,0.0485039,9.05696,4.41511,4.76105,3.30498,1.87834,4.00447,14.2492,2.42432,0.561817,0.340181,16.92,2.50943,0.0910294,2.22473,11.2568,1.69334,18.7299,0.56246,0.129083,1.01293,0,2.39686,34.041,4.99358,14.562,8.43554,15.2987,8.7501,9.692,4.13598,28.0666,2.31326,1.86159,8.51023,1.05881,21.1902,7.41563,5.14396,0,10.6038,20.2994,3.29726,2.70957,14.3473,19.7483,8.4669,0.523783,14.4216,3.25937,15.5005,6.77506,27.7129,25.7805,3.54849,19.1452,3.87839,159.809,0,2.39375,6.39422,5.40626,2.97506,1.16447,3.38865,14.6796,54.5406,2.57587,6.11671,57.0737,0.884181,3.69538,173.954,111.376,75.8959,1.86877
APOD,101.548,6.4374,61.0149,4.43815,2583.61,13601.3,223.767,194.972,10.9277,3948.76,126.366,62.0416,95.7435,23.2556,12.3754,78.6344,462.319,4574.95,56.6557,551.695,41.6221,578.954,473.105,34.8661,108.636,745.2,3331.85,51.8919,100.746,305.796,88.1029,850.293,334.261,769.014,2468.97,226.991,9.53523,819.493,14.2743,15.1454,45.576,880.669,227.124,147.095,165.228,169.251,16699.3,114.32,10225.5,207.709,39.9082,63.9205,39.2727,1264.04,24.5266,905.295,152.924,108.917,27.4739,1392.61,265.929,3238.15,28.4883,388.876,46.1631,59.2515,7071.89,139.493,108.309,180.386,97.3845,32.7622,11869.7,20.1919,604.388,62.4847,127.635,11.7008,431.157,55.8797,12.3961,9.57364,44.836,78.8272,29.5742,3.9072,53.501,121.15,634.054,72.6231,86.1188,13.7345,279.533,158.972,8.408,13.232,0.97078,6.02412,7.80339,16.1725,3.24389,0.187089,17.7364,7752.41,18.8019,49.2309,1713.18,27.9631,274.556,86.3132,0.109307,1.37445,134.119,110.571,86.5343,9.12083,16.3223,190.081,26.3483,4.16083,171.879,9.0727,582.871,68.6262,29.2845,23.309,43.1584,61.197,12.6566,32.4682,0.669381,3.69936,62.3337,100.422,23.9471,6.77016,82.3389,39.7176,6.72613,86.1078,0.847162,53.9198,1.08372,364.672,15.2827,620.083,185.233,24.8244,574.763,39.0799,38.787,26.8377,136.705,81.4037,1.23954,40.374,8.01472,4.29317,24.0673,10.9531,446.564,103.494,147.881,50.4508,18.7033,10.1478,57.5143,126.973,35.2126,20.8128,1024.91,26.8391,222.147,2264.75,70.1232,55.1521,1702.36,1551.18,25.2137,91.0254
ART3,19.2103,0.194101,1.16911,0,0,0,117.309,1.79984,31.6725,0,3.08163,3.30585,20.4122,11.4363,277.391,2.3747,29.9479,0.887626,59.7037,17.6012,13.519,31.8858,31.5205,0.671865,384.85,3.22085,4.69583,29.1496,0,30.5461,4.04652,0.535039,11.878,47.9684,37.2875,61.9652,2.56881,0,495.448,0.454395,1.52685,23.9716,1.03436,22.2765,0.235613,165.481,0,17.1801,0.175385,4.94533,121.997,17.0419,10.848,0.293089,4.06834,0,16.1857,35.8609,0.473306,83.5008,0,0,83.5134,11.9946,7.39338,20.1966,0,4.00471,39.255,0,63.2559,3.3322,0,91.6903,9.55098,4.63307,64.8882,33.6664,0,0.39968,1.0586,1.00164,8.18542,92.4518,9.09987,42.4891,1.06999,53.4512,0,2.78774,44.2138,53.495,0,45.8656,3.04012,0.155376,267.907,5.12479,0.337303,2.83927,29.0535,26.3716,33.2699,0.27854,8.40444,2.09522,9.25212,30.6309,0,0,34.497,1.17116,1.3833,3.38112,11.7816,0.088062,4.89082,22.3735,47.8547,547.518,181.128,0.270129,379.806,5.75635,123.448,13.6808,30.7849,0,12.2091,13.5651,4.50196,1.17291,1.80536,2.1157,8.81953,6.09762,0.372426,0,25.969,0,1.70454,0,24.2354,34.7165,8.70104,1.45964,0,0.22605,0.115521,0,1.05535,28.6469,0,34.0727,0.635686,0,1.5872,9.72088,0.899191,0.422378,12.8534,69.9625,0,0.291602,4.70398,5.25832,80.791,44.8952,98.6914,9.87219,0.0878982,6.02904,0.615523,2.61983,93.7437,42.777,0,1.09477,0.0257765,8.68211
ASPN,31.1651,38.4711,8.07027,66.6747,315.638,106.78,38.9421,31.9125,9.50099,169.588,127.877,256.864,29.0862,99.8197,32.3565,73.809,23.2841,16.949,247.642,37.2942,28.9929,90.9032,46.012,72.6274,30.5316,17.7205,27.5234,78.5235,46.5225,53.1139,110.468,175.454,32.2778,21.4233,20.8746,61.5295,18.7191,14.3354,10.681,23.1488,19.273,34.7116,108.547,57.3841,28.8722,26.1134,93.4608,168.207,130.499,14.3444,9.31432,23.7047,56.5755,81.4283,24.7914,168.678,99.3177,54.5702,46.9364,37.7036,101.719,89.7133,41.7317,10.4886,132.456,58.4273,45.1213,37.577,102.374,31.8742,390.19,55.6868,142.614,138.753,55.6316,53.4652,46.2732,19.8095,25.8341,21.4995,14.174,7.55605,6.61007,5.46924,13.1715,8.27807,27.237,24.9223,25.1588,241.522,112.768,14.4329,29.2722,10.3409,7.42943,7.22931,11.6138,12.6273,15.8789,59.7246,6.48189,36.7956,31.201,10.0964,13.9833,20.8546,14.8356,30.936,80.4627,11.8417,7.35584,10.9442,148.766,117.07,99.797,10.0876,13.9013,14.1299,14.6382,11.5862,54.125,70.5823,46.0267,30.4671,98.3062,16.2505,71.8074,42.7013,15.8107,15.9623,10.6442,2.13178,28.774,23.3006,75.8475,3.64492,41.4929,238.974,8.63035,162.196,8.79653,172.134,10.7154,24.2658,206.11,32.8564,16.7672,12.4372,30.3876,22.2786,60.2143,11.0376,44.1739,0,2.46604,33.8587,9.94837,10.1457,73.3324,3.69349,14.5927,0,0.943362,27.6337,19.8562,21.9529,20.2771,13.6802,41.3579,4.02062,191.273,30.315,114.857,17.5097,3.796,28.712,97.1702,74.2365,12.2085,364.705
AZGP1,64.9749,13.4994,166.081,0.147179,298.58,1632.76,95.0087,36.6707,31.8473,362.406,0.397821,356.516,54.919,8.42855,141.167,43.5564,146.048,367.6,16.7207,63.9359,34.8083,83.2889,53.7874,94.0011,239.112,84.4769,112.811,118.518,3.73036,169.289,93.0043,391.013,41.8629,39.1429,4.87138,279.97,9.81098,29.0099,482.125,2.01508,89.7751,35.7304,23.496,70.096,5.12935,6.8005,438.903,9.073,1218.82,17.8315,239.319,11.4011,13.4647,235.846,99.2913,66.7659,81.6664,113.833,30.0339,111.613,113.574,678.875,496.663,13.2232,26.0583,279.162,166.089,95.197,87.2981,358.987,1.162,85.9447,771.028,56.8318,268.497,1.52872,651.647,174.741,91.8052,170.612,10.708,22.0424,115.596,603.787,0.26194,17.1262,100.254,129.656,189.675,3.97542,68.2212,9.19289,316.875,199.492,15.3658,20.3111,1.17118,0.815736,7.40158,0,109.885,5.04708,58.5012,693.581,22.8252,12.4713,9.61207,0.675944,12.0988,134.856,48.4283,58.3199,6.21353,19.9515,22.8969,42.7428,0.852334,130.727,144.884,175.447,300.948,4.23143,580.643,86.0315,1.34766,0.95899,78.8806,1.1505,30.6143,39.4368,33.7457,223.53,6.16124,21.4744,2.74417,56.5053,5.05436,22.0611,7.37762,24.7804,71.6802,35.5573,4.52898,1.9705,3.75124,241.997,72.8132,8.47719,177.346,21.2686,11.2503,51.8361,178.998,195.738,5.05111,12.8789,1.50857,60.7934,44.7696,85.8713,40.5716,8.79505,99.7284,3.87216,48.381,45.7678,59.9678,200.774,376.117,130.353,257.364,38.5871,63.7556,375.78,121.947,109.388,433.668,545.611,140.03,14.9506
BLVRB,6.57613,23.8841,3.12197,4.02661,7.36637,17.4411,1.69152,0,7.24225,6.56034,0.272242,3.05144,5.63407,1.88214,1.6655,4.9334,3.32387,4.5501,12.3493,2.47625,0.760424,2.19929,0.257732,4.233,2.26478,1.03403,1.36521,4.33147,0.152304,2.32839,5.94933,3.14037,0.226859,2.8226,0.227389,2.58846,1.21768,4.11966,1.83979,1.51625,6.63001,1.67536,2.3271,1.20029,6.78249,1.16798,5.2299,0.431008,7.4401,3.42228,3.141,1.52703,1.03409,2.13867,2.18791,5.60583,3.96303,0.356298,9.23049,1.91394,1.96374,9.51428,4.76439,1.7414,8.05673,3.27208,25.1259,3.74146,1.31899,6.52662,0,2.38092,5.36615,2.52836,4.4294,1.616,2.21732,0.838176,5.31772,2.03717,0.623746,2.09601,2.0169,2.09444,0.657851,1.33646,4.64941,1.24432,2.24178,3.52853,0.938568,3.1071,2.59229,5.22607,0.465605,1.91144,1.01991,2.28742,0.871201,1.77913,2.82875,0,0.896836,2.58756,2.31812,2.17826,0,0.581462,0.734987,0,0,2.42049,3.29221,3.17771,1.22331,3.33307,0.378983,2.36929,1.49672,0,4.18302,1.05937,0.59776,2.56904,2.31512,0.204078,1.60934,1.88931,0,1.26662,3.99175,8.86817,1.94294,1.61289,4.59856,1.03463,2.24939,3.8647,1.19013,8.9017,3.21779,5.90259,5.08205,1.36413,7.71371,2.14395,1.83964,2.12154,5.30482,2.08356,2.48037,1.62151,5.03918,0,2.44601,10.2189,1.37106,3.62414,3.11342,3.81422,9.78599,3.61882,0,4.43249,2.25105,3.17095,8.24161,4.50545,3.44108,6.01812,80.8059,2.90951,4.767,9.26335,2.68466,3.27189,17.5144,20.7679,4.51035,9.71763
C7,0.29143,0.277686,2.34158,0.153097,8.53666,3.83002,0.131227,0.275013,0.419171,16.1138,11.973,3.58075,3.52878,1.55763,2.97795,0.511494,16.7384,24.8307,0.657578,15.2903,0.936934,34.6236,3.14767,5.63905,2.08852,70.8319,9.02806,2.87842,0.0578067,0.517314,2.48137,52.2921,2.44299,0.806282,3.75633,0.703238,0.483138,0.597286,0.195679,1.10798,1.0988,2.5042,5.15895,0.887843,25.5063,3.11435,28.9865,5.95524,2.59044,1.1787,1.27179,0.964774,0.278673,112.076,0.429463,39.2885,10.3059,0.40929,0.29318,5.49728,3.17775,41.1971,0.0602834,12.9084,5.04266,1.81001,0.157557,0.643378,4.2449,4.16189,9.53212,4.16421,4.10235,2.26536,32.9843,0.729716,4.18576,0.491271,1.40697,35.7726,31.5904,64.0085,68.3765,19.8767,94.6797,14.321,122.073,368.54,21.6657,1.91188,7.47819,4.99071,3.38337,8.1721,22.8424,63.4141,0.303186,11.4507,24.0301,1.07913,16.1298,0.880913,6.17838,8.16232,16.2719,4.18377,0.905123,4.90062,322.762,19.5287,18.9547,0.311238,1.21194,2.26989,2.7102,6.76911,12.4669,12.4278,4.52315,0.345662,1.88416,2.81788,8.6817,2.91216,0.160282,0.683814,6.31146,0.823103,6.06215,0,2.02056,51.6333,1.22548,0.0133464,3.04093,0.923272,18.676,2.41996,4.13771,5.02005,0.145938,2.30553,0.246947,1.0167,3.69818,53.7412,24.8705,415.24,23.1979,16.0706,11.3646,17.412,19.783,0,0.593221,12.4255,0.645289,0,5.79552,0.0263386,91.1891,15.638,0,5.99394,1.47221,0.745285,1.01661,14.7516,0.843649,4.77522,4.57211,2.65029,24.3373,11.5843,10.2181,9.23125,0.913499,53.4988,1.81111,13.6514
