,gene_short_name,V515-06187-A1,17-00271-8_S16Aligned_cufflinks,TNT-217,17-00156-7_S13Aligned_cufflinks,17-00108-5_S18Aligned_cufflinks,TNT-326,TNT-24,TNT-85,TNT-259,TNT-44,TNT-289
0,ABCA8,1.07397,43.1719,13.4229,0.0,1.88511,0.03846,4.7176,13.9148,7.3788,57.5774,7.5326
1,ADRA2A,0.196819,3.57135,1.51081,0.0,0.266755,0.917432,0.167515,0.126968,0.0622414,0.627014,0.0190859
2,AKAP12,3.75243,19.8129,11.1246,1.81444,0.90279,7.45648,3.76727,9.65515,10.4078,29.6051,16.4518
3,ALDH3B2,34.613,111.376,0.0,0.0,8.51023,4.99358,0.891775,3.09142,2.39888,0.0,0.340181
4,APOD,101.548,1551.18,29.5742,147.881,6.72613,12.6566,95.7435,880.669,16.1725,551.695,86.5343
5,ART3,19.2103,1.09477,9.09987,0.0,25.969,12.2091,20.4122,23.9716,2.83927,17.6012,11.7816
6,ASPN,31.1651,74.2365,13.1715,0.943362,8.63035,15.8107,29.0862,34.7116,59.7246,37.2942,99.797
7,AZGP1,64.9749,545.611,0.26194,99.7284,7.37762,30.6143,54.919,35.7304,0.0,63.9359,22.8969
8,BLVRB,6.57613,20.7679,0.657851,0.0,1.19013,0.0,5.63407,1.67536,1.77913,2.47625,1.22331
9,C7,0.29143,53.4988,94.6797,0.0,4.13771,6.06215,3.52878,2.5042,1.07913,15.2903,2.7102
10,CCL5,1.03708,8.84458,21.6272,0.0,9.51219,15.9662,34.721,8.38996,24.4902,6.20512,1.12449
11,CD36,36.5005,333.499,26.1072,0.0,6.66782,9.50935,13.4455,17.1364,36.2403,161.29,18.9896
12,CD52,5.15236,25.8897,592.516,0.0,22.789,164.909,55.9095,20.4057,178.9,76.5111,1.74964
13,CDC20,19.1111,2.31267,11.5408,0.0,11.8678,6.93203,27.8803,9.41933,10.0606,6.29946,40.1167
14,CHI3L1,52.4824,15.912,1.37138,0.0,5.20908,1.96055,31.8305,13.6008,17.9288,19.8265,14.14
15,COL2A1,124.822,2.00287,1.01694,19.4398,1.39677,5.7244,111.174,98.027,0.0,0.369471,47.6574
16,COL5A1,145.37,124.007,14.6414,17.3758,27.9288,27.0058,80.0339,45.6382,40.4405,75.9328,387.034
17,COL5A2,202.313,327.722,14.9289,4.19188,21.5128,23.1253,150.156,129.77,44.154,135.933,272.664
18,CRAT,3.09639,17.4382,2.88125,0.0,4.16699,0.143253,8.24192,2.57163,4.1209,7.36069,4.72182
19,CROT,17.2031,30.4582,7.56644,0.0,1.35921,2.16177,3.43788,12.7296,13.6541,5.74807,11.3478
20,CXCL10,2.29941,25.2463,41.7207,0.0,15.9386,56.2198,216.143,11.7658,384.484,56.0996,5.73014
21,CXCL11,0.642556,9.27016,15.1105,0.0,3.99119,13.0665,61.4537,2.73816,110.538,1.58942,0.569746
22,CXCL13,0.0413495,14.9373,157.641,0.0,7.95022,85.4836,102.936,4.71574,627.493,4.79564,1.20819
23,CYP4F8,0.0480191,1.0552,0.0,0.0,0.245576,0.0,0.444958,0.0,0.184965,3.50692,0.773279
24,DBI,412.371,474.352,54.1796,289.493,107.854,65.8549,169.278,133.489,102.259,108.177,82.4001
25,DEFB1,3.16262,3.06845,0.0,0.0,0.328307,0.0,2.59478,0.38141,1.4857,0.977303,1.06093
26,DHCR24,38.1374,118.108,1.94539,54.2997,13.0362,11.0616,37.4488,4.28671,27.5106,7.28549,17.0317
27,DUSP5,2.66143,8.58584,6.53692,0.0,3.84803,1.65224,10.3833,2.37387,0.760338,6.42948,3.52254
28,FABP7,2.25652,220.93,1.16187,0.0,10.5533,13.8638,0.489068,6.33376,9.44809,1.81101,13.5345
29,FASN,124.609,620.299,8.13079,38.7403,47.9147,7.60798,41.3008,4.85397,1.18795,6.20384,7.68728
30,FGFR4,2.32432,0.310467,3.89774,21.8094,0.384906,0.0,2.47027,0.210286,0.335385,0.634329,5.34385
31,FGL2,2.48121,17.2755,24.3703,5.3298,4.67698,5.61145,8.67615,2.7094,6.70472,7.86297,3.17752
32,FOXA1,1.38574,86.8978,0.0,0.0,0.291452,9.37556,1.60243,0.0,0.319283,4.48069,0.742095
33,FOXC1,9.10755,7.0417,5.21185,41.8526,41.1188,19.3417,88.3583,79.8081,3.57756,20.1979,60.9547
34,GABRP,8.66089,19.9296,12.3893,467.371,72.6743,493.65,896.727,1053.74,740.411,162.789,23.4685
35,GALNT7,12.4003,28.8384,27.3677,0.0,7.65921,18.1204,24.1949,38.9402,9.15928,8.8823,4.23746
36,GBP1,41.394,153.619,212.554,0.0,36.9994,518.463,317.85,94.8531,218.737,181.968,208.943
37,GCHFR,0.422531,0.39272,0.383667,0.0,0.32196,0.0,0.280473,0.0,0.0,0.0,0.223262
38,GPR87,0.951488,2.26563,1.77664,0.0,0.289317,0.820931,4.14233,0.274371,7.69994,3.86145,0.776639
39,GZMB,1.4986,4.72534,16.9195,0.0,3.03103,4.26578,18.8047,0.156752,32.7245,1.57691,0.211303
40,HGD,4.21735,23.7782,0.0,509.638,1.29588,0.946356,3.29947,0.344177,5.68914,2.59817,1.87352
41,HTRA1,91.2943,221.531,10.9488,22.5573,10.4438,7.84756,59.9396,26.8807,40.9797,135.477,82.6346
42,IDO1,0.291424,9.55688,21.7554,81.5059,2.49456,17.2985,44.933,1.25972,56.6019,11.717,0.400109
43,IGFBP4,13.3498,57.7482,0.823572,0.0,11.6234,1.0725,5.12951,1.20676,0.438883,6.03804,2.99541
44,IGHM,55.219,336.897,902.723,0.0,213.124,250.338,187.014,15.7823,136.843,50.9729,8.20091
45,IGJ,20.0186,446.489,400.73,45.924,86.6554,141.021,472.398,28.9327,120.395,252.016,3.92075
46,IGKC,182.346,2529.53,4419.39,5465.48,11833.8,5790.14,11973.6,544.65,1516.83,928.331,59.211
47,IL23A,0.0490073,0.0,0.0,0.0,0.187825,0.0,0.229037,0.0,0.0,0.0,0.0
48,IL33,0.883329,7.25951,7.43529,0.0,1.09261,1.2426,1.20917,2.95705,0.602038,10.2893,0.925937
49,INPP4B,37.1722,30.2415,64.1763,106.644,8.1298,14.8552,13.4709,12.045,13.6166,35.38,1.94168
50,ITM2A,5.13433,67.9227,54.1887,0.0,6.95836,2.49321,17.2039,13.6575,18.4724,43.8775,4.83082
51,JAM2,11.2143,20.8529,6.64111,0.0,2.33619,4.36864,5.36198,16.8022,2.31682,28.1835,13.9681
52,KCNK5,7.32046,0.399446,0.535433,1.21499,5.83935,0.357348,3.72339,1.42137,0.449249,1.29317,1.22033
53,KIAA1324,6.46799,28.2916,8.98162,148.542,12.8659,11.1553,15.5619,26.8834,1.34983,12.3385,36.5255
54,KMO,1.44589,11.096,11.5546,0.0,5.28187,8.45972,5.29445,2.61179,8.82002,3.68019,5.17553
55,KRT14,118.371,111.476,0.375188,598.006,38.0093,1.92268,11.775,10.4352,0.595829,92.8815,32.4302
56,KRT16,91.0343,6.56254,0.0,806.332,61.3773,0.0,156.186,18.7238,32.6636,149.575,18.1422
57,KRT17,105.347,169.488,4.22886,533.669,31.6651,5.15554,237.929,90.4727,23.5076,173.196,55.5191
58,KRT6A,54.2242,26.0383,4.91217,2951.55,12.3955,4.61346,12.9195,17.4194,132.032,57.7713,15.9277
59,KRT6B,86.6584,11.7636,0.0,870.998,31.013,25.9574,75.9562,15.7364,152.121,33.1355,4.00999
60,KYNU,14.7879,91.1552,16.5639,0.0,7.18597,8.77872,11.8771,4.71817,28.7073,9.04136,2.97186
61,LBP,0.573258,30.34,1.05449,0.0,0.264648,0.0,0.114002,1.18249,0.126927,0.73285,1.05612
62,LHFP,2.0952,6.7217,5.05722,0.0,0.460656,0.0422214,1.22997,1.88011,0.675045,5.4203,0.903817
63,MFAP4,1.60954,41.3266,8.69345,0.0,1.97139,0.0,4.47361,1.10077,1.72318,8.7876,2.56142
64,MIA,21.0747,0.9598,0.0,0.0,52.6175,0.0,9.45441,20.3728,8.68449,13.4092,27.1029
65,MID1,36.2366,14.4386,8.06621,0.0,27.7178,18.6038,24.9344,16.0742,14.7907,18.9785,51.5347
66,MYBL1,4.60362,1.77691,17.1522,0.0,48.0038,8.07362,50.6087,48.2984,15.8264,42.4586,20.0227
67,NEK2,17.1321,2.752,5.67865,0.0,22.4467,30.0864,7.70819,45.9645,7.06742,15.4104,22.2645
68,NTN3,0.0235576,0.0437792,0.0,0.0,0.0921463,0.0,0.0,0.0,0.0,0.0,0.0385849
69,OGN,1.27872,87.9032,18.8553,0.0,0.861578,9.13511,7.16578,19.6786,15.1809,26.9847,137.401
70,PI3,0.0,0.0,0.0,0.0,1.40499,26.7844,0.310929,12.9848,84.1807,0.0,0.655293
71,PLEKHB1,14.583,0.613339,1.13715,0.0,1.2345,0.0,3.86976,1.19545,4.05949,4.90876,0.181805
72,PMAIP1,1.62393,2.49894,0.0,0.0,4.76914,0.752031,2.36075,0.0,3.94632,1.00094,6.14423
73,PSMB9,0.0,0.0,36.9087,0.0,0.0,4.83253,49.1147,1.28821,29.5826,8.41277,15.8159
74,PTGDS,1.49063,32.4277,30.906,48.2798,3.30801,0.0,2.5061,1.50469,4.47236,4.86847,1.28009
75,RARRES3,10.7933,31.4226,14.4303,12.3192,8.46961,5.39538,45.1789,5.74631,27.7703,29.4438,14.9686
76,RTP4,0.772275,0.11482,9.09239,0.0,1.04102,1.81004,8.94065,0.0949046,6.60475,0.707379,4.98935
77,S100A1,196.638,8.57125,1.46503,17.41,15.4601,3.63567,88.1761,12.5233,2.36985,16.0569,17.868
78,S100A7,6.57916,116.993,0.0,0.0,0.0,0.0,4.37861,1.3312,0.0,5.847,0.475356
79,S100A8,3.49996,98.5857,1.84107,93.6986,0.799238,2.63903,6.0969,2.91237,14.6467,5.58615,2.62304
80,SCRG1,23.222,0.162206,0.0,0.0,0.33877,1.87698,8.62836,44.7074,12.0923,8.82788,4.28357
81,SEMA3C,89.189,68.2334,0.384932,0.966204,12.525,27.273,11.163,41.3754,46.0447,55.7138,22.1075
82,SERHL2,5.02658,574.127,6.73379,0.0,7.81635,0.0,1.56208,0.700095,0.0,0.268983,5.33505
83,SFRP1,35.3095,4.81089,3.47615,1.76527,13.0061,10.1147,22.0046,7.5595,0.399455,12.8129,29.3637
84,SIDT1,0.909009,8.51488,41.6228,0.0,6.64324,3.11273,3.34404,0.900163,18.1512,13.0942,0.705832
85,SOX10,3.84721,0.709455,0.696051,6.01954,6.35197,0.241657,3.58091,0.780131,0.0,1.10416,1.40946
86,SPDEF,0.141878,3.82498,0.452909,0.0,0.443012,0.0,0.433642,0.268385,0.0,0.867882,0.139067
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,49.9711,37.9831,0.0,22.9936,19.0873,59.4068,27.1889,51.5029,29.1229,40.9009
89,SRPX,12.4869,30.9274,3.18607,0.0,2.07515,2.17439,5.28882,2.96741,6.79803,14.3073,14.1535
90,TCF7L1,11.751,6.54781,4.03289,0.0,14.3223,27.8505,13.9768,10.6981,2.74681,8.50101,13.4957
91,TFAP2B,1.18026,8.73733,0.0,0.0,0.213072,9.64635,0.236124,0.306106,0.0328593,2.00691,0.445715
92,THBS4,8.67223,11.9439,8.61506,15.8989,6.26509,1.19803,4.62645,13.8041,13.4075,63.4373,25.1457
93,TNFAIP8,5.97248,10.2542,114.787,0.0,13.7328,29.3606,29.7009,22.5981,33.4226,29.6814,15.142
