,gene_short_name,V515-06187-A1,TNT-231,TNT-134,17-00105-7_S10_cufflinks,TNT-139,TNT-1,TNT-24,17-00099-0_S15_cufflinks,TNT-20,TNT-57,TNT-311
0,ABCA8,1.07397,3.88278,17.1376,15.2433,4.21902,47.3435,4.7176,2.37642,5.37171,6.46901,34.8692
1,ADRA2A,0.196819,1.04498,0.0531184,1.61281,0.358636,0.120636,0.167515,1.096,0.689524,0.408656,0.0496502
2,AKAP12,3.75243,8.51694,10.3489,20.4997,4.57451,4.00906,3.76727,3.23311,7.36849,6.26016,15.4658
3,ALDH3B2,34.613,10.2769,3.81536,2.31326,4.68061,8.46557,0.891775,15.2987,119.299,0.100817,0.56246
4,APOD,101.548,279.533,108.917,82.3389,1392.61,6.4374,95.7435,3.69936,62.0416,51.8919,582.871
5,ART3,19.2103,0.0,35.8609,0.372426,83.5008,0.194101,20.4122,1.17291,3.30585,29.1496,379.806
6,ASPN,31.1651,29.2722,54.5702,41.4929,37.7036,38.4711,29.0862,2.13178,256.864,78.5235,46.0267
7,AZGP1,64.9749,316.875,113.833,5.05436,111.613,13.4994,54.919,223.53,356.516,118.518,580.643
8,BLVRB,6.57613,2.59229,0.356298,2.24939,1.91394,23.8841,5.63407,8.86817,3.05144,4.33147,0.59776
9,C7,0.29143,3.38337,0.40929,18.676,5.49728,0.277686,3.52878,51.6333,3.58075,2.87842,8.6817
10,CCL5,1.03708,4.01815,5.13551,5.25453,4.08448,5.85725,34.721,9.70031,2.0571,3.70974,2.70085
11,CD36,36.5005,21.4639,14.3846,26.3072,19.0127,12.6625,13.4455,54.5393,45.423,21.4543,25.2541
12,CD52,5.15236,72.6561,13.0453,2.14786,12.3884,28.6878,55.9095,125.986,11.4556,16.7951,21.335
13,CDC20,19.1111,24.5621,15.5522,2.38084,39.6781,10.419,27.8803,33.8445,6.79373,26.4927,8.48748
14,CHI3L1,52.4824,0.0151373,37.3706,4.30004,11.9292,5.10433,31.8305,17.7339,7.92085,15.99,0.922415
15,COL2A1,124.822,0.111929,74.0814,0.613052,14.4149,0.0,111.174,0.0618147,0.442754,0.548056,0.0
16,COL5A1,145.37,87.8761,94.0041,145.623,75.3596,136.494,80.0339,26.4936,220.455,87.4963,45.4507
17,COL5A2,202.313,82.9914,148.505,236.741,97.3976,181.264,150.156,15.8177,493.817,121.088,72.8625
18,CRAT,3.09639,4.96534,13.9288,10.8298,2.73225,8.60203,8.24192,64.8689,3.80492,8.62563,0.434016
19,CROT,17.2031,10.7887,20.8546,13.6305,11.9831,8.03371,3.43788,4.61783,42.461,4.78488,4.08553
20,CXCL10,2.29941,39.3975,28.1758,3.53507,66.1195,18.7691,216.143,11.4388,7.82904,4.72286,27.689
21,CXCL11,0.642556,14.1107,4.69776,1.68925,28.2921,4.29667,61.4537,2.75201,3.55107,0.976804,5.85182
22,CXCL13,0.0413495,52.2161,5.01477,1.16042,4.47169,16.4184,102.936,28.2446,35.8027,2.67622,5.80727
23,CYP4F8,0.0480191,0.010545,0.0,0.0,0.0,0.0,0.444958,1.3096,14.2902,0.859841,0.149097
24,DBI,412.371,105.985,162.915,24.5286,272.917,88.0907,169.278,354.092,327.348,123.693,155.366
25,DEFB1,3.16262,6.56505,0.0,0.0,0.762547,0.0,2.59478,3.46354,10.0555,0.239474,5.24034
26,DHCR24,38.1374,52.1513,25.671,10.2971,18.4995,85.4416,37.4488,70.036,97.5112,26.688,2.58974
27,DUSP5,2.66143,12.2249,3.62035,7.98056,7.58368,4.9567,10.3833,7.49855,14.6225,2.64648,1.8477
28,FABP7,2.25652,0.166318,18.6299,0.132922,4.85553,0.0,0.489068,0.0870091,1157.06,33.7576,0.259635
29,FASN,124.609,11.447,21.6596,33.3583,26.8524,71.0935,41.3008,50.4576,21.9527,20.7734,3.60214
30,FGFR4,2.32432,0.0,1.26755,6.27721,0.487249,2.29939,2.47027,0.908697,0.456456,0.19916,0.0657728
31,FGL2,2.48121,11.6829,5.45068,1.65977,4.23162,4.36658,8.67615,5.3003,2.6246,3.20866,6.20109
32,FOXA1,1.38574,107.32,1.2293,2.09953,8.97258,61.0078,1.60243,1.55697,30.6374,1.82645,0.938145
33,FOXC1,9.10755,5.24262,35.6002,8.20116,70.1013,0.485797,88.3583,26.2312,3.61987,53.8272,33.2057
34,GABRP,8.66089,40.2214,1009.38,25.1786,663.094,0.0561244,896.727,7.99554,1.24448,573.122,590.01
35,GALNT7,12.4003,45.0253,12.1341,11.0325,16.3709,42.6968,24.1949,22.437,64.223,11.9499,14.3397
36,GBP1,41.394,82.1542,193.236,291.445,219.584,324.355,317.85,69.2423,59.1961,99.511,62.836
37,GCHFR,0.422531,0.0,0.0,0.0,0.0,0.707112,0.280473,0.963942,0.276117,0.167516,0.0
38,GPR87,0.951488,0.0,1.02462,0.160558,8.56737,7.8752,4.14233,0.738929,11.7334,1.00728,31.4702
39,GZMB,1.4986,4.58215,5.87952,1.21038,0.105476,15.83,18.8047,3.81677,0.237031,1.48368,2.90159
40,HGD,4.21735,6.21582,0.0,10.301,0.34505,15.9397,3.29947,1.41826,7.81192,13.2817,0.233995
41,HTRA1,91.2943,30.4542,62.1455,146.353,37.3821,36.8865,59.9396,17.2681,226.529,72.1096,73.8052
42,IDO1,0.291424,86.3031,0.0,1.67701,44.8251,6.85727,44.933,3.97728,1.62899,1.98322,1.69027
43,IGFBP4,13.3498,2.07548,5.52265,52.3011,8.66618,16.5499,5.12951,4.1304,2.1182,4.93166,0.923907
44,IGHM,55.219,483.259,20.2621,0.0,55.1274,62.2751,187.014,0.0,3.89927,31.8551,11.8723
45,IGJ,20.0186,690.221,53.8699,234.137,65.2352,22.5761,472.398,285.552,3.56719,40.1732,167.984
46,IGKC,182.346,7960.46,1214.16,3004.06,623.875,396.902,11973.6,13083.9,48.9523,1984.64,654.382
