,gene_short_name,V515-06187-A1,TNT-123,17-00157-0_S11Aligned_cufflinks,TNT-134,TNT-113,17-00131-5_S8Aligned_cufflinks,TNT-238,TNT-239,TNT-139,17-00124-3_S12Aligned_cufflinks,TNT-100
0,ABCA8,1.07397,4.65218,14.9899,17.1376,6.802,3.02603,3.0725,6.36936,4.21902,19.1922,10.2128
1,ADRA2A,0.196819,0.11801,0.928628,0.0531184,1.08531,0.425611,1.4667,0.621933,0.358636,0.730596,0.218344
2,AKAP12,3.75243,3.79732,11.8446,10.3489,12.1145,0.384289,3.91094,7.24354,4.57451,8.16971,6.21779
3,ALDH3B2,34.613,5.94829,2.39375,3.81536,4.95691,15.5005,3.84186,6.83249,4.68061,0.523783,3.95048
4,APOD,101.548,24.5266,50.4508,108.917,207.709,1.23954,8.408,13.232,1392.61,26.8377,169.251
5,ART3,19.2103,4.06834,0.291602,35.8609,4.94533,0.635686,3.04012,0.155376,83.5008,28.6469,165.481
6,ASPN,31.1651,24.7914,27.6337,54.5702,14.3444,2.46604,7.42943,7.22931,37.7036,11.0376,26.1134
7,AZGP1,64.9749,99.2913,3.87216,113.833,17.8315,5.05111,15.3658,20.3111,111.613,51.8361,6.8005
8,BLVRB,6.57613,2.18791,4.43249,0.356298,3.42228,2.44601,0.465605,1.91144,1.91394,1.62151,1.16798
9,C7,0.29143,0.429463,5.99394,0.40929,1.1787,0.593221,22.8424,63.4141,5.49728,17.412,3.11435
10,CCL5,1.03708,2.78857,0.0,5.13551,31.8243,5.70474,17.8954,6.15495,4.08448,4.40667,19.74
11,CD36,36.5005,15.422,149.636,14.3846,31.2782,9.64332,17.0593,25.2455,19.0127,19.8167,37.6889
12,CD52,5.15236,70.4409,2.70915,13.0453,157.061,3.68263,394.821,884.803,12.3884,23.7771,134.336
13,CDC20,19.1111,22.9872,14.3517,15.5522,50.0459,8.15222,3.99635,8.33313,39.6781,7.08699,8.90459
14,CHI3L1,52.4824,60.4696,45.5875,37.3706,12.6521,168.771,0.843568,5.80837,11.9292,4.73689,24.0775
15,COL2A1,124.822,1.02857,114.783,74.0814,0.0,0.0350637,0.0,0.441904,14.4149,0.0,0.112568
16,COL5A1,145.37,9.17789,174.977,94.0041,13.4753,11.9765,5.36673,4.27042,75.3596,58.7164,29.7421
17,COL5A2,202.313,26.7663,163.721,148.505,46.0854,14.2269,8.55259,7.06516,97.3976,38.1792,89.4079
18,CRAT,3.09639,6.53709,4.3305,13.9288,19.5146,1.26799,5.162,1.24437,2.73225,14.2827,2.41362
19,CROT,17.2031,2.65129,4.56994,20.8546,14.5467,5.52752,8.11357,13.1914,11.9831,12.7956,6.30357
20,CXCL10,2.29941,47.5692,2.0649,28.1758,290.819,58.1687,53.2897,30.7011,66.1195,7.52891,240.759
21,CXCL11,0.642556,7.40885,0.506209,4.69776,36.1052,8.21909,9.54068,4.089,28.2921,1.41623,44.6731
22,CXCL13,0.0413495,18.4192,4.07947,5.01477,155.442,9.9852,66.4045,181.287,4.47169,0.0,63.115
23,CYP4F8,0.0480191,0.24915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,DBI,412.371,347.116,133.718,162.915,147.908,19.1439,37.3285,81.9375,272.917,21.4471,96.7272
25,DEFB1,3.16262,1.62327,1.31565,0.0,0.0,2.9607,6.17349,5.28242,0.762547,0.0,3.17559
26,DHCR24,38.1374,17.5614,36.7396,25.671,9.0368,7.69733,14.4175,9.51047,18.4995,3.58161,11.8349
27,DUSP5,2.66143,2.76943,7.80812,3.62035,6.14911,1.1767,7.09274,2.56,7.58368,6.59482,5.35534
28,FABP7,2.25652,19.9956,19.8938,18.6299,0.0481688,0.609712,0.459537,4.89626,4.85553,0.0,0.585031
29,FASN,124.609,3.01758,77.9457,21.6596,2.73138,141.922,2.56326,4.16085,26.8524,77.9135,11.798
30,FGFR4,2.32432,0.907833,0.919346,1.26755,0.0,0.555021,2.2803,0.310047,0.487249,0.0,0.757059
31,FGL2,2.48121,3.14344,4.94528,5.45068,14.189,9.03785,17.1009,12.4948,4.23162,9.62687,11.0687
32,FOXA1,1.38574,1.76614,2.59678,1.2293,0.184148,0.399233,1.53088,0.0622759,8.97258,0.181899,1.26925
33,FOXC1,9.10755,29.8336,22.169,35.6002,38.9412,71.1802,8.49762,21.1296,70.1013,1.64669,41.8014
34,GABRP,8.66089,39.4466,12.7787,1009.38,427.715,192.759,481.995,204.747,663.094,269.497,358.421
35,GALNT7,12.4003,3.91766,16.9598,12.1341,32.677,13.0624,14.2293,36.8265,16.3709,5.79069,29.8137
36,GBP1,41.394,239.401,33.4805,193.236,282.29,226.399,170.473,123.158,219.584,90.1077,388.829
37,GCHFR,0.422531,0.0,0.333965,0.0,0.0,0.589551,0.444785,0.276966,0.0,0.0,0.313997
38,GPR87,0.951488,0.511436,0.58282,1.02462,0.0,1.20162,2.2105,2.76913,8.56737,0.0,1.30861
39,GZMB,1.4986,1.45646,4.43361,5.87952,37.6163,5.46104,12.1068,17.8403,0.105476,1.12176,8.78789
40,HGD,4.21735,12.8727,5.07111,0.0,0.0,0.948775,2.00744,0.97463,0.34505,7.50475,0.638701
41,HTRA1,91.2943,12.3716,120.1,62.1455,22.529,5.30595,6.35896,14.7131,37.3821,49.397,46.1997
42,IDO1,0.291424,5.15896,0.71657,0.0,39.3203,17.0065,34.2077,11.0866,44.8251,29.3957,26.7969
43,IGFBP4,13.3498,0.238274,25.3081,5.52265,2.82959,2.89407,0.341642,0.245478,8.66618,45.4229,1.63244
44,IGHM,55.219,46.5165,37.0321,20.2621,268.148,145.031,199.737,235.714,55.1274,152.941,2633.01
45,IGJ,20.0186,86.7227,39.9957,53.8699,155.94,34.6306,234.559,255.014,65.2352,159.86,1101.02
46,IGKC,182.346,5601.96,412.756,1214.16,5559.58,2381.84,1223.26,1565.35,623.875,2589.9,13908.6
47,IL23A,0.0490073,0.0,0.0591049,0.0,0.0,0.157318,0.734684,0.342107,0.0,0.0,0.111458
48,IL33,0.883329,2.03419,3.79564,2.26428,1.15545,1.05634,13.7201,21.9688,1.02143,20.4372,4.16297
49,INPP4B,37.1722,7.55487,15.8445,7.97554,46.5469,6.39065,43.5411,27.6685,14.4823,31.2191,16.4583
50,ITM2A,5.13433,15.3539,12.4601,4.33379,24.0381,12.5426,50.0355,41.0562,5.5162,37.63,43.1574
51,JAM2,11.2143,2.93659,11.2515,8.43175,3.97831,1.4881,6.92667,8.91494,1.85318,11.1531,8.00646
52,KCNK5,7.32046,0.608428,3.94905,2.40978,0.340533,3.68354,1.74261,0.285043,1.02161,1.67404,0.647269
53,KIAA1324,6.46799,3.08357,4.44704,11.1121,22.8026,2.73313,8.14788,25.3584,17.5328,11.4137,22.5117
54,KMO,1.44589,4.42598,3.95502,1.76828,5.52365,9.83803,20.1133,24.7087,2.22641,8.75989,4.03722
55,KRT14,118.371,5.37247,246.15,397.356,78.6777,4.12401,4.36773,2.00679,495.375,11.6942,17.7406
56,KRT16,91.0343,77.8206,473.333,59.6753,50.6836,0.898924,33.8557,17.9436,65.3751,48.806,26.5273
57,KRT17,105.347,21.0044,1234.96,765.101,29.8449,55.7211,28.5257,34.4338,220.483,91.1917,32.7619
58,KRT6A,54.2242,38.9155,316.262,247.124,120.645,81.4641,70.3375,82.8246,172.754,334.97,46.8005
59,KRT6B,86.6584,7.53217,231.8,93.2796,54.9532,22.3315,46.362,139.554,73.2841,105.533,77.5874
60,KYNU,14.7879,7.17154,21.981,7.29957,10.4972,7.79387,17.213,23.0941,2.42706,2.09661,8.12335
61,LBP,0.573258,3.13134,2.21989,2.55761,3.7789,23.1821,0.965151,3.42086,0.856867,0.496314,0.0556399
62,LHFP,2.0952,0.700106,1.74013,0.766592,0.132844,0.825841,2.15408,0.784121,0.753493,1.68337,1.13224
63,MFAP4,1.60954,0.711885,7.00268,2.89975,0.0752608,4.31629,5.6763,3.85388,1.29656,4.52207,4.33022
64,MIA,21.0747,3.80292,91.9118,18.0933,0.0,1.95772,3.15825,38.436,42.9602,2.9892,1.96644
65,MID1,36.2366,29.3874,38.3648,35.5331,8.52765,43.2326,15.5065,27.8837,13.3447,20.1044,10.3217
66,MYBL1,4.60362,111.205,14.6385,73.735,30.3994,1.97273,13.2892,10.6215,54.0697,29.0565,28.7094
67,NEK2,17.1321,33.2685,9.50352,45.783,52.4039,10.8881,13.6131,24.1101,89.38,9.19087,17.3282
68,NTN3,0.0235576,0.0,0.0290064,0.0355409,0.0,0.0259023,0.0,0.0,0.0,0.0,0.0
69,OGN,1.27872,18.6286,8.20645,22.5238,13.3446,0.273895,10.1206,4.3811,11.8601,1.29925,16.1288
70,PI3,0.0,0.281125,1.08444,1.44304,5.16361,18.6768,45.6396,0.0,0.749434,0.0,4.06093
71,PLEKHB1,14.583,0.239575,5.81267,1.72521,2.2507,2.03643,0.233445,1.56048,1.25768,2.66644,0.902408
72,PMAIP1,1.62393,1.68006,1.60111,1.27636,0.0,2.45003,4.70499,4.33091,5.27086,0.0,2.55461
73,PSMB9,0.0,5.92243,9.59711,9.68523,36.9638,0.0,36.7315,22.3266,8.61911,47.0763,17.9413
74,PTGDS,1.49063,17.2444,8.94655,0.761197,3.52126,0.348463,15.4675,14.9539,3.64368,14.7771,2.27118
75,RARRES3,10.7933,7.29205,5.33786,17.6937,44.1109,51.4591,25.5765,115.305,18.0742,45.9482,34.1245
76,RTP4,0.772275,1.06162,0.359175,3.88267,0.0,3.67307,3.27616,2.47434,6.42063,4.2497,4.43146
77,S100A1,196.638,46.337,43.4994,26.7952,1.81255,4.78204,1.30119,6.14099,45.0482,50.3418,17.2424
78,S100A7,6.57916,25.5385,1.15754,0.0,3.07872,1.1964,1.91106,7.22335,7.31966,31.581,90.8251
79,S100A8,3.49996,3.59375,2.80385,0.0,0.0,1.6705,64.4657,10.8895,2.84797,0.0,24.8285
80,SCRG1,23.222,27.9532,5.63649,18.5708,0.0,0.0,0.609802,0.616513,0.985764,0.0,0.134701
81,SEMA3C,89.189,16.9621,113.926,30.8402,7.66827,24.4515,5.10211,63.8822,22.0941,20.1514,25.4714
82,SERHL2,5.02658,1.43949,3.74914,4.04001,3.6563,3.3933,2.94451,5.63717,2.80262,0.0,1.91457
83,SFRP1,35.3095,31.8088,15.0663,27.6853,5.04083,5.26698,3.25499,15.3376,15.2094,7.28486,18.3509
84,SIDT1,0.909009,1.94103,1.31951,1.84421,19.857,6.67357,32.8407,14.1793,1.97089,30.0365,6.62159
85,SOX10,3.84721,0.757518,6.69312,4.76922,0.112743,0.0,0.824529,0.45138,3.85785,4.99757,1.58692
86,SPDEF,0.141878,0.285567,0.0915142,0.468364,0.0,0.0544585,0.268316,0.381323,0.692795,1.174,0.404139
87,SPRR1B,0.0944781,0.0,0.357226,0.0,0.0,0.0,0.47054,1.77931,0.0,23.7501,0.0
88,SPTLC2,28.7351,63.7563,40.6082,17.6175,30.3911,20.6005,46.953,75.5368,99.0664,48.7606,47.0239
89,SRPX,12.4869,4.66545,11.5373,8.93184,1.47954,0.210772,1.62707,1.4964,7.10769,8.0311,3.69887
90,TCF7L1,11.751,13.0712,9.27533,32.592,33.2491,38.0919,5.73333,6.582,12.025,4.91668,12.9741
91,TFAP2B,1.18026,1.444,0.435733,1.0816,0.0,0.0,0.0,1.99583,1.54039,0.0,0.287497
92,THBS4,8.67223,4.32413,12.4065,7.51145,13.0656,0.588586,5.51876,5.87345,16.9838,37.7683,8.39324
93,TNFAIP8,5.97248,17.3322,8.94067,24.3674,25.5365,18.0039,103.533,134.384,18.1646,26.3933,48.5812
94,TNFSF10,24.8142,15.7489,11.2988,21.7547,45.1035,282.779,60.8272,70.8998,42.7781,13.0099,108.079
95,TRIM68,7.67148,0.0782492,3.88962,1.0802,4.45127,5.80985,2.7255,2.42572,0.0549879,2.84572,0.272175
96,TSC22D3,7.24202,16.5792,47.9913,2.78973,4.53729,4.80127,9.88904,7.86074,0.42588,5.4525,10.1657
97,UBD,0.0,10.4594,0.0,1.98099,128.718,36.2625,63.7004,46.9344,10.9428,10.425,41.9058
98,UGT2B28,0.0,0.0924854,0.0,0.0,0.0,0.103177,0.0371477,0.364851,0.0,0.0,0.0
99,XBP1,26.3139,60.9993,32.6882,59.7946,91.84,41.0862,27.5281,40.5142,92.5017,31.529,163.35
100,ZCCHC24,0.75321,1.21593,1.49208,1.43079,0.0,0.866055,0.0,0.334794,2.05055,3.48435,0.65349
